,Glaspercentage,Isolatie/infiltratie,g-waarde glas,Spuiventilatie,Zonwering,Oriëntatie,Woningtype,Klimaatbestand,Ruimtetype,GTO
87,0.5,Goed,0.6,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,109
89,0.7,Goed,0.6,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,148
91,0.3,Slecht,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,42
93,0.5,Slecht,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,49
95,0.7,Slecht,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,58
97,0.3,Matig,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,48
99,0.5,Matig,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,55
101,0.7,Matig,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,67
103,0.3,Goed,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,63
105,0.5,Goed,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,68
107,0.7,Goed,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,80
109,0.3,Slecht,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
111,0.5,Slecht,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,11
113,0.7,Slecht,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,32
115,0.3,Matig,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
117,0.5,Matig,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,16
119,0.7,Matig,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,41
121,0.3,Goed,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,8
123,0.5,Goed,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,29
125,0.7,Goed,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,76
127,0.3,Slecht,0.3,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
129,0.5,Slecht,0.3,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
131,0.7,Slecht,0.3,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,1
133,0.3,Matig,0.3,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
135,0.5,Matig,0.3,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
137,0.7,Matig,0.3,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,1
139,0.3,Goed,0.3,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
141,0.5,Goed,0.3,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
143,0.7,Goed,0.3,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,8
145,0.3,Slecht,0.6,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
147,0.5,Slecht,0.6,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,11
149,0.7,Slecht,0.6,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,33
151,0.3,Matig,0.6,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
153,0.5,Matig,0.6,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,16
155,0.7,Matig,0.6,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,39
157,0.3,Goed,0.6,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,1
159,0.5,Goed,0.6,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,22
161,0.7,Goed,0.6,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,59
163,0.3,Slecht,0.3,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
165,0.5,Slecht,0.3,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
167,0.7,Slecht,0.3,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,1
169,0.3,Matig,0.3,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
171,0.5,Matig,0.3,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
173,0.7,Matig,0.3,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,1
175,0.3,Goed,0.3,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
177,0.5,Goed,0.3,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
179,0.7,Goed,0.3,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,4
181,0.3,Slecht,0.6,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,55
183,0.5,Slecht,0.6,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,73
185,0.7,Slecht,0.6,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,97
187,0.3,Matig,0.6,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,65
189,0.5,Matig,0.6,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,86
191,0.7,Matig,0.6,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,116
193,0.3,Goed,0.6,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,80
