,Glaspercentage,Isolatie/infiltratie,g-waarde glas,Spuiventilatie,Zonwering,Oriëntatie,Woningtype,Klimaatbestand,Ruimtetype,GTO
3770,0.7,Matig,0.3,21:00 tot 7:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,550
3773,0.3,Goed,0.3,21:00 tot 7:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,109
3776,0.5,Goed,0.3,21:00 tot 7:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,306
3779,0.7,Goed,0.3,21:00 tot 7:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,676
3782,0.3,Slecht,0.6,8:00 tot 22:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,376
3785,0.5,Slecht,0.6,8:00 tot 22:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,528
3788,0.7,Slecht,0.6,8:00 tot 22:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,742
3791,0.3,Matig,0.6,8:00 tot 22:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,357
3794,0.5,Matig,0.6,8:00 tot 22:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,541
3797,0.7,Matig,0.6,8:00 tot 22:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,798
3800,0.3,Goed,0.6,8:00 tot 22:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,393
3803,0.5,Goed,0.6,8:00 tot 22:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,600
3806,0.7,Goed,0.6,8:00 tot 22:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,892
3809,0.3,Slecht,0.3,8:00 tot 22:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,265
3812,0.5,Slecht,0.3,8:00 tot 22:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,311
3815,0.7,Slecht,0.3,8:00 tot 22:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,366
3818,0.3,Matig,0.3,8:00 tot 22:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,233
3821,0.5,Matig,0.3,8:00 tot 22:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,301
3824,0.7,Matig,0.3,8:00 tot 22:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,377
3827,0.3,Goed,0.3,8:00 tot 22:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,261
3830,0.5,Goed,0.3,8:00 tot 22:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,329
3833,0.7,Goed,0.3,8:00 tot 22:00,Binnen slecht,West,Tussenappartement doorzon,1,LIVINGROOM,411
3836,0.3,Slecht,0.6,TO-juli,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,232
3839,0.5,Slecht,0.6,TO-juli,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,511
3842,0.7,Slecht,0.6,TO-juli,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,955
3845,0.3,Matig,0.6,TO-juli,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,192
3848,0.5,Matig,0.6,TO-juli,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,588
3851,0.7,Matig,0.6,TO-juli,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,1202
3854,0.3,Goed,0.6,TO-juli,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,262
3857,0.5,Goed,0.6,TO-juli,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,853
3860,0.7,Goed,0.6,TO-juli,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,1709
3863,0.3,Slecht,0.3,TO-juli,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,128
3866,0.5,Slecht,0.3,TO-juli,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,200
3869,0.7,Slecht,0.3,TO-juli,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,317
3872,0.3,Matig,0.3,TO-juli,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,71
3875,0.5,Matig,0.3,TO-juli,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,177
3878,0.7,Matig,0.3,TO-juli,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,349
3881,0.3,Goed,0.3,TO-juli,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,87
3884,0.5,Goed,0.3,TO-juli,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,233
3887,0.7,Goed,0.3,TO-juli,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,488
3890,0.3,Slecht,0.6,21:00 tot 7:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,223
3893,0.5,Slecht,0.6,21:00 tot 7:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,494
3896,0.7,Slecht,0.6,21:00 tot 7:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,918
3899,0.3,Matig,0.6,21:00 tot 7:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,173
3902,0.5,Matig,0.6,21:00 tot 7:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,517
3905,0.7,Matig,0.6,21:00 tot 7:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,1078
3908,0.3,Goed,0.6,21:00 tot 7:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,180
3911,0.5,Goed,0.6,21:00 tot 7:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,638
3914,0.7,Goed,0.6,21:00 tot 7:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,1379
3917,0.3,Slecht,0.3,21:00 tot 7:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,124
3920,0.5,Slecht,0.3,21:00 tot 7:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,199
3923,0.7,Slecht,0.3,21:00 tot 7:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,325
3926,0.3,Matig,0.3,21:00 tot 7:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,64
3929,0.5,Matig,0.3,21:00 tot 7:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,170
3932,0.7,Matig,0.3,21:00 tot 7:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,344
3935,0.3,Goed,0.3,21:00 tot 7:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,63
3938,0.5,Goed,0.3,21:00 tot 7:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,194
3941,0.7,Goed,0.3,21:00 tot 7:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,415
3944,0.3,Slecht,0.6,8:00 tot 22:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,308
3947,0.5,Slecht,0.6,8:00 tot 22:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,391
3950,0.7,Slecht,0.6,8:00 tot 22:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,484
3953,0.3,Matig,0.6,8:00 tot 22:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,284
3956,0.5,Matig,0.6,8:00 tot 22:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,389
3959,0.7,Matig,0.6,8:00 tot 22:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,508
3962,0.3,Goed,0.6,8:00 tot 22:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,308
3965,0.5,Goed,0.6,8:00 tot 22:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,424
3968,0.7,Goed,0.6,8:00 tot 22:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,558
3971,0.3,Slecht,0.3,8:00 tot 22:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,242
3974,0.5,Slecht,0.3,8:00 tot 22:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,284
3977,0.7,Slecht,0.3,8:00 tot 22:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,316
3980,0.3,Matig,0.3,8:00 tot 22:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,216
3983,0.5,Matig,0.3,8:00 tot 22:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,269
3986,0.7,Matig,0.3,8:00 tot 22:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,321
3989,0.3,Goed,0.3,8:00 tot 22:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,234
3992,0.5,Goed,0.3,8:00 tot 22:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,296
3995,0.7,Goed,0.3,8:00 tot 22:00,Binnen goed,West,Tussenappartement doorzon,1,LIVINGROOM,357
3998,0.3,Slecht,0.6,TO-juli,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,110
4001,0.5,Slecht,0.6,TO-juli,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,180
4004,0.7,Slecht,0.6,TO-juli,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,285
4007,0.3,Matig,0.6,TO-juli,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,62
4010,0.5,Matig,0.6,TO-juli,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,161
4013,0.7,Matig,0.6,TO-juli,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,318
4016,0.3,Goed,0.6,TO-juli,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,75
4019,0.5,Goed,0.6,TO-juli,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,233
4022,0.7,Goed,0.6,TO-juli,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,470
4025,0.3,Slecht,0.3,TO-juli,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,73
4028,0.5,Slecht,0.3,TO-juli,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,80
4031,0.7,Slecht,0.3,TO-juli,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,93
4034,0.3,Matig,0.3,TO-juli,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,22
4037,0.5,Matig,0.3,TO-juli,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,42
4040,0.7,Matig,0.3,TO-juli,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,76
4043,0.3,Goed,0.3,TO-juli,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,21
4046,0.5,Goed,0.3,TO-juli,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,56
4049,0.7,Goed,0.3,TO-juli,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,106
4052,0.3,Slecht,0.6,21:00 tot 7:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,106
4055,0.5,Slecht,0.6,21:00 tot 7:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,171
4058,0.7,Slecht,0.6,21:00 tot 7:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,270
4061,0.3,Matig,0.6,21:00 tot 7:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,50
4064,0.5,Matig,0.6,21:00 tot 7:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,133
4067,0.7,Matig,0.6,21:00 tot 7:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,276
4070,0.3,Goed,0.6,21:00 tot 7:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,48
4073,0.5,Goed,0.6,21:00 tot 7:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,147
4076,0.7,Goed,0.6,21:00 tot 7:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,304
4079,0.3,Slecht,0.3,21:00 tot 7:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,68
4082,0.5,Slecht,0.3,21:00 tot 7:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,78
4085,0.7,Slecht,0.3,21:00 tot 7:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,90
4088,0.3,Matig,0.3,21:00 tot 7:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,13
4091,0.5,Matig,0.3,21:00 tot 7:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,40
4094,0.7,Matig,0.3,21:00 tot 7:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,72
4097,0.3,Goed,0.3,21:00 tot 7:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,8
4100,0.5,Goed,0.3,21:00 tot 7:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,42
4103,0.7,Goed,0.3,21:00 tot 7:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,80
4106,0.3,Slecht,0.6,8:00 tot 22:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,255
4109,0.5,Slecht,0.6,8:00 tot 22:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,297
4112,0.7,Slecht,0.6,8:00 tot 22:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,344
4115,0.3,Matig,0.6,8:00 tot 22:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,226
4118,0.5,Matig,0.6,8:00 tot 22:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,293
4121,0.7,Matig,0.6,8:00 tot 22:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,351
4124,0.3,Goed,0.6,8:00 tot 22:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,255
4127,0.5,Goed,0.6,8:00 tot 22:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,322
4130,0.7,Goed,0.6,8:00 tot 22:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,386
4133,0.3,Slecht,0.3,8:00 tot 22:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,219
4136,0.5,Slecht,0.3,8:00 tot 22:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,229
4139,0.7,Slecht,0.3,8:00 tot 22:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,240
4142,0.3,Matig,0.3,8:00 tot 22:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,189
4145,0.5,Matig,0.3,8:00 tot 22:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,212
4148,0.7,Matig,0.3,8:00 tot 22:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,243
4151,0.3,Goed,0.3,8:00 tot 22:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,205
4154,0.5,Goed,0.3,8:00 tot 22:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,238
4157,0.7,Goed,0.3,8:00 tot 22:00,Buiten,West,Tussenappartement doorzon,1,LIVINGROOM,270
4160,0.3,Slecht,0.6,TO-juli,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,115
4163,0.5,Slecht,0.6,TO-juli,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,255
4166,0.7,Slecht,0.6,TO-juli,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,454
4169,0.3,Matig,0.6,TO-juli,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,113
4172,0.5,Matig,0.6,TO-juli,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,307
4175,0.7,Matig,0.6,TO-juli,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,546
4178,0.3,Goed,0.6,TO-juli,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,161
4181,0.5,Goed,0.6,TO-juli,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,459
4184,0.7,Goed,0.6,TO-juli,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,784
4187,0.3,Slecht,0.3,TO-juli,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,43
4190,0.5,Slecht,0.3,TO-juli,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,86
4193,0.7,Slecht,0.3,TO-juli,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,120
4196,0.3,Matig,0.3,TO-juli,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,25
4199,0.5,Matig,0.3,TO-juli,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,78
4202,0.7,Matig,0.3,TO-juli,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,119
4205,0.3,Goed,0.3,TO-juli,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,32
4208,0.5,Goed,0.3,TO-juli,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,93
4211,0.7,Goed,0.3,TO-juli,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,156
4214,0.3,Slecht,0.6,21:00 tot 7:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,108
4217,0.5,Slecht,0.6,21:00 tot 7:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,236
4220,0.7,Slecht,0.6,21:00 tot 7:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,410
4223,0.3,Matig,0.6,21:00 tot 7:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,96
4226,0.5,Matig,0.6,21:00 tot 7:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,250
4229,0.7,Matig,0.6,21:00 tot 7:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,452
4232,0.3,Goed,0.6,21:00 tot 7:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,103
4235,0.5,Goed,0.6,21:00 tot 7:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,275
4238,0.7,Goed,0.6,21:00 tot 7:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,515
4241,0.3,Slecht,0.3,21:00 tot 7:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,41
4244,0.5,Slecht,0.3,21:00 tot 7:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,82
4247,0.7,Slecht,0.3,21:00 tot 7:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,120
4250,0.3,Matig,0.3,21:00 tot 7:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,21
4253,0.5,Matig,0.3,21:00 tot 7:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,66
4256,0.7,Matig,0.3,21:00 tot 7:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,115
4259,0.3,Goed,0.3,21:00 tot 7:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,13
4262,0.5,Goed,0.3,21:00 tot 7:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,72
4265,0.7,Goed,0.3,21:00 tot 7:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,122
4268,0.3,Slecht,0.6,8:00 tot 22:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,250
4271,0.5,Slecht,0.6,8:00 tot 22:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,338
4274,0.7,Slecht,0.6,8:00 tot 22:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,429
4277,0.3,Matig,0.6,8:00 tot 22:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,266
4280,0.5,Matig,0.6,8:00 tot 22:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,362
4283,0.7,Matig,0.6,8:00 tot 22:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,451
4286,0.3,Goed,0.6,8:00 tot 22:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,302
4289,0.5,Goed,0.6,8:00 tot 22:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,403
4292,0.7,Goed,0.6,8:00 tot 22:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,492
4295,0.3,Slecht,0.3,8:00 tot 22:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,197
4298,0.5,Slecht,0.3,8:00 tot 22:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,224
4301,0.7,Slecht,0.3,8:00 tot 22:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,255
4304,0.3,Matig,0.3,8:00 tot 22:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,194
4307,0.5,Matig,0.3,8:00 tot 22:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,227
4310,0.7,Matig,0.3,8:00 tot 22:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,265
4313,0.3,Goed,0.3,8:00 tot 22:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,211
4316,0.5,Goed,0.3,8:00 tot 22:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,262
4319,0.7,Goed,0.3,8:00 tot 22:00,Overstek,West,Tussenappartement doorzon,1,LIVINGROOM,298
4321,0.3,Slecht,0.6,TO-juli,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,225
4323,0.5,Slecht,0.6,TO-juli,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,283
4325,0.7,Slecht,0.6,TO-juli,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,363
4327,0.3,Matig,0.6,TO-juli,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,31
4329,0.5,Matig,0.6,TO-juli,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,70
4331,0.7,Matig,0.6,TO-juli,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,123
4333,0.3,Goed,0.6,TO-juli,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,18
4335,0.5,Goed,0.6,TO-juli,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,58
4337,0.7,Goed,0.6,TO-juli,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,138
4339,0.3,Slecht,0.3,TO-juli,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,186
4341,0.5,Slecht,0.3,TO-juli,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,206
4343,0.7,Slecht,0.3,TO-juli,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,234
4345,0.3,Matig,0.3,TO-juli,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,11
4347,0.5,Matig,0.3,TO-juli,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,21
4349,0.7,Matig,0.3,TO-juli,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,34
4351,0.3,Goed,0.3,TO-juli,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,0
4353,0.5,Goed,0.3,TO-juli,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,8
4355,0.7,Goed,0.3,TO-juli,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,18
4357,0.3,Slecht,0.6,21:00 tot 7:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,206
4359,0.5,Slecht,0.6,21:00 tot 7:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,261
4361,0.7,Slecht,0.6,21:00 tot 7:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,334
4363,0.3,Matig,0.6,21:00 tot 7:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,29
4365,0.5,Matig,0.6,21:00 tot 7:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,65
4367,0.7,Matig,0.6,21:00 tot 7:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,116
4369,0.3,Goed,0.6,21:00 tot 7:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,10
4371,0.5,Goed,0.6,21:00 tot 7:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,45
4373,0.7,Goed,0.6,21:00 tot 7:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,108
4375,0.3,Slecht,0.3,21:00 tot 7:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,170
4377,0.5,Slecht,0.3,21:00 tot 7:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,195
4379,0.7,Slecht,0.3,21:00 tot 7:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,217
4381,0.3,Matig,0.3,21:00 tot 7:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,10
4383,0.5,Matig,0.3,21:00 tot 7:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,21
4385,0.7,Matig,0.3,21:00 tot 7:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,33
4387,0.3,Goed,0.3,21:00 tot 7:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,0
4389,0.5,Goed,0.3,21:00 tot 7:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,6
4391,0.7,Goed,0.3,21:00 tot 7:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,14
4393,0.3,Slecht,0.6,8:00 tot 22:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,272
4395,0.5,Slecht,0.6,8:00 tot 22:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,309
4397,0.7,Slecht,0.6,8:00 tot 22:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,362
4399,0.3,Matig,0.6,8:00 tot 22:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,94
4401,0.5,Matig,0.6,8:00 tot 22:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,126
4403,0.7,Matig,0.6,8:00 tot 22:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,173
4405,0.3,Goed,0.6,8:00 tot 22:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,89
4407,0.5,Goed,0.6,8:00 tot 22:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,125
4409,0.7,Goed,0.6,8:00 tot 22:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,183
4411,0.3,Slecht,0.3,8:00 tot 22:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,234
4413,0.5,Slecht,0.3,8:00 tot 22:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,259
4415,0.7,Slecht,0.3,8:00 tot 22:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,278
4417,0.3,Matig,0.3,8:00 tot 22:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,73
4419,0.5,Matig,0.3,8:00 tot 22:00,Binnen slecht,Noord,Appartement onder dak enkelzijdig,1,LIVINGROOM,85
